[Training] start  epochs=2
[Training] split_start  split=train total_items=320000
[Training] split_update  items_processed=256
[Training] split_update  items_processed=512
[Training] split_update  items_processed=768
[Training] split_update  items_processed=1024
[Training] split_update  items_processed=1280
[Training] split_update  items_processed=1536
[Training] split_update  items_processed=1792
[Training] split_update  items_processed=2048
[Training] split_update  items_processed=2304
[Training] split_update  items_processed=2560
[Training] split_update  items_processed=2816
[Training] split_update  items_processed=3072
[Training] split_update  items_processed=3328
[Training] split_update  items_processed=3584
[Training] split_update  items_processed=3840
[Training] split_update  items_processed=4096
[Training] split_update  items_processed=4352
[Training] split_update  items_processed=4608
[Training] split_update  items_processed=4864
[Training] split_update  items_processed=5120
[Training] split_update  items_processed=5376
[Training] split_update  items_processed=5632
[Training] split_update  items_processed=5888
[Training] split_update  items_processed=6144
[Training] split_update  items_processed=6400
[Training] split_update  items_processed=6656
[Training] split_update  items_processed=6912
[Training] split_update  items_processed=7168
[Training] split_update  items_processed=7424
[Training] split_update  items_processed=7680
[Training] split_update  items_processed=7936
[Training] split_update  items_processed=8192
[Training] split_update  items_processed=8448
[Training] split_update  items_processed=8704
[Training] split_update  items_processed=8960
[Training] split_update  items_processed=9216
[Training] split_update  items_processed=9472
[Training] split_update  items_processed=9728
[Training] split_update  items_processed=9984
[Training] split_update  items_processed=10240
[Training] split_update  items_processed=10496
[Training] split_update  items_processed=10752
[Training] split_update  items_processed=11008
[Training] split_update  items_processed=11264
[Training] split_update  items_processed=105216
[Training] split_update  items_processed=105472
[Training] split_update  items_processed=105728
[Training] split_update  items_processed=105984
[Training] split_update  items_processed=106240
[Training] split_update  items_processed=106496
[Training] split_update  items_processed=106752
[Training] split_update  items_processed=107008
[Training] split_update  items_processed=107264
[Training] split_update  items_processed=107520
[Training] split_update  items_processed=107776
[Training] split_update  items_processed=108032
[Training] split_update  items_processed=108288
[Training] split_update  items_processed=108544
[Training] split_update  items_processed=108800
[Training] split_update  items_processed=109056
[Training] split_update  items_processed=109312
[Training] split_update  items_processed=109568
[Training] split_update  items_processed=109824
[Training] split_update  items_processed=110080
[Training] split_update  items_processed=110336
[Training] split_update  items_processed=110592
[Training] split_update  items_processed=110848
[Training] split_update  items_processed=111104
[Training] split_update  items_processed=111360
[Training] split_update  items_processed=111616
[Training] split_update  items_processed=111872
[Training] split_update  items_processed=112128
[Training] split_update  items_processed=112384
[Training] split_update  items_processed=112640
